Candidate Age,Candidate Gender,Highest Qualification,Job Title,CTC (Yearly),Employment Type,Marriage Status,Disability Status,Course Name,Course Sector,Candidate City,Present Village,Present District,Present State,Present Country,Job Designation,Job Location
21,Female,Higher Secondary Pass,Trainee beautician,4000,Self Employed,Unmarried,No,Certificate Course For Retail Sales Associate 1,Retail,Coimbatore,LG THOTTAM,Coimbatore,TAMIL NADU,India,Beautician,Coimbatore
20,Male,Higher Secondary Pass,CUSTOMER SALES EXECUTIVE,13000,Salaried,Unmarried,No,Certificate Course on CRM Domestic Voice - 1-1,IT-ITeS,Pune,Swarget ,Pune,MAHARASHTRA,India,CUSTOMER SALES EXECUTIVE,Pune
23,Female,Higher Secondary Pass,Customer sales executive,13000,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Pune,Pune,MAHARASHTRA,India,Customer sales executive,Pune
24,Male,Higher Secondary Pass,Team Leader,15000,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Balaji Nagar ,Pune,MAHARASHTRA,India,Team Leader,Pune
35,Female,1 to 5,Self Emply ,500,Self Employed,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Bangalore,Gangondanahalli,Bangalore,KARNATAKA,India,Tailring ,Bangalore 
21,Female,10th Pass,Self Emply ,600,Self Employed,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Bangalore,Gangondanahalli,Bangalore,KARNATAKA,India,Tailring ,Bangalore 
29,Male,Graduation,Account Executive,7500,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Hamirpur,Bhour ,Hamirpur(HP),HIMACHAL PRADESH,India,Account Executive,Bhareri
23,Female,Higher Secondary Pass,Assistant Beauty Therapist,5000,Salaried,Unmarried,No,Certificate Course For Retail Sales Associate 1,Retail,Mumbai,Sakinaka,Mumbai,MAHARASHTRA,India,Assistant Beauty Therapist,Mumbai
24,Female,Higher Secondary Pass,BEAUTY AND WELLNESS ,5000,Part Time,Unmarried,No,Certificate Course For Retail Sales Associate 1,Retail,North East Delhi, MAYUR VIHAR ,North West Delhi,DELHI,India,BEAUTICIAN ,TATAR PUR WEST DELHI TAGORGARDEN 
22,Female,10th Pass,Assistant Beautician ,7500,Wage Employment- Full Time,Married,No,Certificate Course For Retail Sales Associate 1,Retail,Kolkata,Kolkata ,Kolkata,WEST BENGAL,India,Assistant Beautician ,Kolkata 
21,Female,Higher Secondary Pass,Assistant Beautician ,7500,Wage Employment- Full Time,Unmarried,No,Certificate Course For Retail Sales Associate 1,Retail,Kolkata,Kolkata ,Kolkata,WEST BENGAL,India,Assistant Beautician ,Kolkata 
19,Female,10th Pass,self employed,5300,Self Employed,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,East Midnapore,khanjanchak ,East Midnapore,WEST BENGAL,India,self employed,haldia
21,Female,Higher Secondary Pass,Self employed,5000,Self Employed,Married,No,Certificate Course for Data Entry Operator - 2,Others,East Midnapore,bhagyabantapur,East Midnapore,WEST BENGAL,India,Self employed,Haldia
19,Female,Certification,self employed,5100,Self Employed,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,East Midnapore,jaynagar,East Midnapore,WEST BENGAL,India,self employed,haldia
31,Female,10th Pass,Assistant Beautician ,6500,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist - Saundarya- I,Beauty & Wellness,Kolkata,Kolkata ,Kolkata,WEST BENGAL,India,Assistant Beautician ,Kolkata 
21,Female,10th Pass,ASSISTANT BEAUTICIAN,6000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Kolkata,Noapara,Kolkata,WEST BENGAL,India,ASSISTANT BEAUTICIAN,KOLKATA
20,Female,10th Pass,ASSIATANT BEAUTICIAN,6000,Wage Employment- Full Time,Unmarried,No,Certificate Course on Digital Marketing - 2- I,Media & Entertainment Skill Council,Kolkata,Belgachia,Kolkata,WEST BENGAL,India,ASSIATANT BEAUTICIAN,KOLKATA
27,Female,Higher Secondary Pass,Assistant beauty therapist ,7000,Wage Employment- Full Time,Married,No,Certificate Course in Tally - 2- I,IT-ITeS,Thane,Digha,Thane,MAHARASHTRA,India,Assistant beauty therapist ,Digha Navi Mumbai
22,Female,Graduation,ASSIATANT BEAUTICIAN,7500,Wage Employment- Full Time,Unmarried,No,Certificate Course in Tally - 2- I,IT-ITeS,Patna,Danapur,Patna,BIHAR,India,ASSIATANT BEAUTICIAN,PATNA
20,Female,Higher Secondary Pass,Business Development Executive,10500,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Bangalore Rural,Basavanagar  Hoodi,Bangalore,KARNATAKA,India,Business Development Executive,Bangalore
34,Female,Higher Secondary Pass,Sales Executive,13919,Salaried,Married,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Pune,Swarget ,Pune,MAHARASHTRA,India,Sales Executive,Pune
31,Female,Higher Secondary Pass,Data Entry,210,Part Time,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Wagholi,Pune,MAHARASHTRA,India,Data Entry Operator,Pune
24,Female,Higher Secondary Pass,Assistant Beautician,6500,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,East Sikkim,Tadong,East Sikkim,SIKKIM,India,Assistant Beautician,Gangtok
34,Female,10th Pass,Assistant Beautician,9500,Salaried,Married,No,Certificate Course for Data Entry Operator - 2,Others,East Sikkim,Tadong,East Sikkim,SIKKIM,India,Assistant Beautician,Gangtok
24,Male,Higher Secondary Pass,Retail Sales Executives,9000,Wage Employment- Full Time,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Hamirpur,CHORU,Hamirpur(HP),HIMACHAL PRADESH,India,Retail Sales Executives,Hamirpur 
22,Male,Higher Secondary Pass,Retail Sales Executives,9000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Hamirpur,Khanoli ,Hamirpur(HP),HIMACHAL PRADESH,India,Retail Sales Executives,Hamirpur
23,Male,Higher Secondary Pass,Retail Sales Executive,7000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Hamirpur,Bagwar ,Hamirpur(HP),HIMACHAL PRADESH,India,Retail Sales Executive,Hamirpur 
24,Female,Higher Secondary Pass,sewing machine operator,4000,Self Employed,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pratapgarh,Kulmipura ,Chittorgarh,RAJASTHAN,India,Tailor,Kulamipura Pratapgarh
32,Female,6 to 9,Sewing Machine Operator ,4000,Self Employed,Married,No,Certificate Course for Data Entry Operator - 2,Others,Pratapgarh,Labano Ka Mahalla Tanda Dhudali ,Chittorgarh,RAJASTHAN,India,Tailor ,Tanda Pratapgarh 
30,Female,1 to 5,Self Employed,4000,Self Employed,Married,No,Certificate Course for Data Entry Operator - 2,Others,East Midnapore,ichhapur,East Midnapore,WEST BENGAL,India,Self Employed,Haldia
24,Male,Higher Secondary Pass,Information Retrieval Officer,10853,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Pune,Swarget ,Pune,MAHARASHTRA,India,Information Retrieval Officer,Pune
27,Male,Post Graduation,Information Retrieval Officer,10853,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Pune,Dive,Pune,MAHARASHTRA,India,Information Retrieval Officer,Pune
23,Male,Graduation,ATM Operator,12900,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2- 1,IT-ITeS,Pune,Swarget ,Pune,MAHARASHTRA,India,ATM Operator,Pune
24,Male,Graduation,Helper,11500,Salaried,Unmarried,No,Certificate Course for Fitter Electrical and Electronic Assembly,Capital Goods,Pune,Swarget ,Pune,MAHARASHTRA,India,Helper,pune
37,Female,Higher Secondary Pass,Data entry operator,9000,Salaried,Married,No,Certificate Course for Data Entry Operator - 2,Others,Pune,Wagholi ,Pune,MAHARASHTRA,India,Data entry operator,pune
20,Female,Higher Secondary Pass,Beauty,8000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Fitter Electrical and Electronic Assembly,Capital Goods,Banka,Panthia,Banka,BIHAR,India,Beautician,Delhi
21,Male,Higher Secondary Pass,excutive,13047,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Pune,Chinchwad,Pune,MAHARASHTRA,India,excutive,Pune
19,Female,10th Pass,Self employment,5500,Self Employed,Unmarried,No,Kia HMV Drivers Training_APSRTC,Automotive,East Midnapore,binchiberia,East Midnapore,WEST BENGAL,India,Self employment,Haldia
